Date,returns,abs_returns,range,vol_chg,vol_5,vol_20,target,vol_60,vol_ratio
2017-05-02,0.00037710709231168413,0.00037710709231168413,0.00284789824355532,-0.1533164797185779,0.0017444255194992513,0.004616040302545718,0,0.0044643744022853146,1.0339724867571065
2017-05-03,-0.0012146076301407316,0.0012146076301407316,0.004948037385569405,0.24272309694388752,0.0018303140505193008,0.004636651600375107,0,0.004459455138670459,1.0397350026392411
2017-05-04,0.0011739198326003418,0.0011739198326003418,0.004774666677318138,-0.17391347893646159,0.0018712175540926365,0.004558505026323279,0,0.004458749805203282,1.022372912919129
2017-05-05,0.003937093816772331,0.003937093816772331,0.0043387924829487775,0.008724865817766615,0.001975915936324844,0.004590821510620811,0,0.00447688057031951,1.025450967143662
2017-05-08,-0.0001667028698151619,0.0001667028698151619,0.0031294333161131275,-0.2479510370453687,0.0019462071269650313,0.004575919300861872,0,0.0044279432328437115,1.033418691305834
2017-05-09,-0.0009180803991811819,0.0009180803991811819,0.004802911558417864,0.059717647214923335,0.0021002192837220315,0.004594561795643385,0,0.004412460798025251,1.041269714554661
2017-05-10,0.0017958522796982575,0.0017958522796982575,0.0030016310308063907,0.055488077205219734,0.001883826761671112,0.0045724312657266985,0,0.0043701470936162515,1.0462877261971195
2017-05-11,-0.0020429855873128145,0.0020429855873128145,0.006015550221544955,0.13848674281121973,0.002367110845427702,0.004455313000852044,0,0.004359741634934395,1.0219213370700317
2017-05-12,-0.0016707236146629566,0.0016707236146629566,0.003180159513026287,-0.14553071107130489,0.0015213221847764397,0.004139619878926667,1,0.0043234177437156684,0.9574878312288555
2017-05-15,0.005523495877443438,0.005523495877443438,0.004119872994553527,0.13845939258389736,0.0031661284341519946,0.0038815733954777757,0,0.0043710341034835214,0.888021759515519
2017-05-16,-0.0009155622579779416,0.0009155622579779416,0.004331861372046625,-0.18926985904864155,0.0031658391994096383,0.003790279599433296,1,0.004372215493000462,0.8669013696834489
2017-05-17,-0.017744209940318792,0.017744209940318792,0.01836146932648315,1.2119505689602208,0.008607917176139747,0.005683372594537812,1,0.004903067458026919,1.1591463187465305
2017-05-18,0.004028520751142195,0.004028520751142195,0.00979856942330004,-0.47523164465974216,0.009246477998349626,0.005463526985798298,1,0.004928366651959304,1.1085877678411442
2017-05-19,0.006504265097942718,0.006504265097942718,0.007595139008587753,0.07175672436730503,0.010042199195667467,0.00556519631545412,1,0.004996498981218302,1.1138191634529568
